19:51:00:263 [WARN]	SSL certificate signed by unknown CA
19:51:00:264 [WARN]	SSL certificate signed by unknown CA
19:51:00:264 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:265 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:269 [WARN]	SSL certificate signed by unknown CA
19:51:00:270 [WARN]	SSL certificate signed by unknown CA
19:51:00:270 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:273 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:278 [WARN]	SSL certificate signed by unknown CA
19:51:00:278 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:278 [WARN]	SSL certificate signed by unknown CA
19:51:00:279 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:284 [WARN]	SSL certificate signed by unknown CA
19:51:00:284 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:284 [WARN]	SSL certificate signed by unknown CA
19:51:00:285 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
19:51:00:288 [WARN]	SSL certificate signed by unknown CA
19:51:00:288 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
